iter	Passed	Remaining
0	68	34428
1	70	17621
2	73	12229
3	75	9385
4	98	9778
5	104	862666	121	858177	132	8164
8	140	768799	156	766610	160	7113
111	189	7691
12	204	766713	207	7199
114	230	7456
15	247	7478
16	258	7354117	272	7288
18	284	7205
19	286	6874220	307	7023
21	332	7220
22	333	6921
23	357	7091
24	359	6828
25	397	7255
26	401	7035
27	403	6798
28	431	7015
29	433	6795
30	454	6868
31	463	6782
32	478	6772
33	485	6653
34	504	6699
35	511	6595
36	524	6568
37	526	6402338	549	6500
39	567	6527
40	612	6851
41	614	6703
42	622	6611
43	639	6632
44	655	6629
45	657	6487
46	710	6849
47	723	6809
48	743	6842
49	756	6809
50	766	6749
51	768	6618
52	804	6786
53	806	6660
54	836	6769
55	838	6647
56	868	6746
57	869	6628
58	898	6718
59	912	6691
60	914	6580
61	939	6638
62	959	6658
63	961	6551
64	985	6594
65	990	6512
66	992	6411
67	1014	6446
68	1035	6467
69	1048	6439
70	1064	6431
71	1074	6389
72	1087	6359
73	1092	6290
74	1094	6201
75	1130	6307
76	1132	6220
77	1154	6245
78	1156	6161
79	1179	6190
80	1180	6106
81	1203	6132
82	1212	6089
83	1213	6009
84	1233	6023
85	1235	5947
86	1275	6056
87	1289	6038
88	1295	5983
89	1316	5998
90	1323	5948
91	1332	5911
92	1334	5841
93	1336	5772
94	1376	5869
95	1388	5844
96	1390	5777
97	1392	5711
98	1432	5803
99	1434	5736
100	1435	5672
101	1478	5768
102	1489	5741
103	1507	5740
104	1516	5705
105	1528	5681
106	1535	5639
107	1557	5652
108	1574	5648
109	1576	5589
110	1591	5577
111	1610	5577
112	1623	5558
113	1634	5535
114	1652	5533
115	1654	5477
116	1656	5422
117	1691	5476
118	1693	5421
119	1695	5367
120	1751	5484
121	1752	5430
122	1816	5567
123	1826	5539
124	1839	5518
125	1840	5464
126	1842	5411
127	1850	5379
128	1867	5372
129	1869	5321
130	1904	5363
131	1905	5312
132	1934	5337
133	1939	5296
134	1951	5277
135	1953	5228
136	1954	5179
137	1996	5238
138	2002	5201
139	2021	5197
140	2040	5195
141	2047	5161
142	2048	5115
143	2050	5069
144	2091	5119
145	2092	5073
146	2113	5076
147	2127	5059
148	2139	5038
149	2149	5014
150	2150	4969
151	2172	4973
152	2186	4957
153	2192	4926
154	2194	4884
155	2216	4888
156	2236	4886
157	2238	4844
158	2264	4856
159	2289	4865
160	2294	4831
161	2309	4818
162	2311	4778
163	2312	4738
164	2314	4699
165	2359	4748
166	2361	4709
167	2390	4724
168	2392	4685
169	2412	4684
170	2418	4652
171	2419	4614
172	2446	4623
173	2449	4589
174	2469	4586
175	2471	4549
176	2473	4513
177	2507	4535
178	2509	4499
179	2536	4508
180	2542	4480
181	2543	4444
182	2564	4441
183	2566	4406
184	2580	4394
185	2596	4383
186	2608	4366
187	2612	4335
188	2614	4301
189	2616	4268
190	2649	4286
191	2651	4252
192	2663	4236
193	2665	4204
194	2681	4194
195	2683	4162
196	2685	4130
197	2731	4166
198	2733	4134
199	2737	4105
200	2759	4104
201	2763	4077
202	2803	4100
203	2804	4069
204	2830	4073
205	2832	4041
206	2837	4016
207	2839	3986
208	2841	3956
209	2879	3976
210	2880	3945
211	2882	3915
212	2906	3915
213	2909	3888
214	2926	3879
215	2928	3850
216	2931	3823
217	2950	3816
218	2952	3788
219	2955	3761
220	2956	3732
221	2973	3723
222	2981	3703
223	2988	3682
224	3012	3681
225	3015	3655
226	3034	3648
227	3040	3626
228	3041	3599
229	3092	3630
230	3101	3612
231	3103	3585
232	3134	3591
233	3141	3570
234	3142	3543
235	3146	3520
236	3148	3494
237	3180	3501
238	3182	3475
239	3183	3449
240	3210	3450
241	3222	3435
242	3226	3412
243	3228	3387
244	3263	3396
245	3280	3387
246	3281	3361
247	3293	3346
248	3294	3321
249	3321	3321
250	3333	3306
251	3334	3281
252	3337	3258
253	3364	3258
254	3366	3234
255	3368	3210
256	3370	3186
257	3404	3193
258	3411	3174
259	3418	3155
260	3432	3142
261	3435	3120
262	3449	3108
263	3450	3084
264	3467	3074
265	3475	3057
266	3494	3049
267	3497	3027
268	3499	3005
269	3516	2995
270	3518	2973
271	3538	2965
272	3545	2947
273	3554	2932
274	3560	2912
275	3561	2890
276	3591	2891
277	3601	2876
278	3605	2855
279	3606	2834
280	3626	2826
281	3628	2804
282	3646	2796
283	3655	2780
284	3664	2764
285	3669	2745
286	3672	2725
287	3684	2712
288	3687	2692
289	3694	2675
290	3698	2656
291	3708	2641
292	3720	2628
293	3725	2610
294	3748	2605
295	3761	2592
296	3763	2572
297	3795	2572
298	3806	2559
299	3808	2539
300	3824	2528
301	3837	2515
302	3839	2496
303	3847	2480
304	3848	2460
305	3850	2441
306	3855	2423
307	3860	2406
308	3865	2389
309	3871	2372
310	3873	2353
311	3882	2339
312	3884	2320
313	3886	2302
314	3894	2287
315	3905	2274
316	3907	2255
317	3909	2237
318	3913	2220
319	3933	2212
320	3938	2196
321	3955	2186
322	3957	2168
323	3978	2160
324	3979	2143
325	3981	2125
326	4002	2117
327	4019	2107
328	4020	2089
329	4029	2075
330	4048	2067
331	4050	2049
332	4052	2032
333	4054	2014
334	4088	2013
335	4092	1997
336	4102	1984
337	4104	1967
338	4128	1960
339	4130	1943
340	4148	1934
341	4149	1917
342	4159	1904
343	4161	1887
344	4187	1881
345	4189	1864
346	4201	1852
347	4220	1843
348	4227	1829
349	4229	1812
350	4237	1798
351	4253	1788
352	4255	1772
353	4268	1760
354	4287	1751
355	4289	1735
356	4299	1722
357	4301	1706
358	4314	1694
359	4332	1684
360	4359	1678
361	4361	1662
362	4363	1646
363	4365	1631
364	4394	1625
365	4409	1614
366	4429	1605
367	4430	1589
368	4432	1573
369	4464	1568
370	4469	1553
371	4471	1538
372	4473	1523
373	4475	1507
374	4477	1492
375	4508	1487
376	4510	1471
377	4512	1456
378	4554	1454
379	4556	1438
380	4577	1429
381	4584	1416
382	4586	1400
383	4612	1393
384	4617	1379
385	4625	1366
386	4633	1352
387	4635	1338
388	4659	1329
389	4661	1314
390	4662	1299
391	4664	1285
392	4692	1277
393	4693	1262
394	4695	1248
395	4718	1239
396	4737	1229
397	4738	1214
398	4740	1199
399	4764	1191
400	4766	1176
401	4768	1162
402	4818	1159
403	4821	1145
404	4822	1131
405	4823	1116
406	4825	1102
407	4827	1088
408	4829	1074
409	4831	1060
410	4856	1051
411	4862	1038
412	4869	1025
413	4871	1011
414	4889	1001
415	4900	989
416	4909	977
417	4911	963
418	4920	951
419	4922	937
420	4957	930
421	4960	916
422	4962	903
423	4991	894
424	4993	881
425	4995	867
426	5011	856
427	5024	845
428	5026	831
429	5059	823
430	5066	811
431	5078	799
432	5092	788
433	5100	775
434	5111	763
435	5113	750
436	5120	738
437	5128	725
438	5130	712
439	5179	706
440	5180	693
441	5182	680
442	5183	666
443	5184	653
444	5202	643
445	5205	630
446	5207	617
447	5210	604
448	5241	595
449	5242	582
450	5244	569
451	5246	557
452	5281	547
453	5283	535
454	5291	523
455	5295	510
456	5307	499
457	5309	486
458	5319	475
459	5323	462
460	5325	450
461	5327	438
462	5370	429
463	5372	416
464	5385	405
465	5399	393
466	5401	381
467	5403	369
468	5405	357
469	5428	346
470	5430	334
471	5432	322
472	5433	310
473	5449	298
474	5464	287
475	5484	276
476	5485	264
477	5487	252
478	5489	240
479	5531	230
480	5532	218
481	5551	207
482	5553	195
483	5582	184
484	5584	172
485	5585	160
486	5610	149
487	5612	138
488	5613	126
489	5635	115
490	5637	103
491	5659	92
492	5660	80
493	5685	69
494	5687	57
495	5706	46
496	5708	34
497	5710	22
498	5712	11
499	5714	0
